Feature	Gain	Cover	Frequency	pos
canarito198	3.14273184917154e-06	4.40102285981554e-05	0.000192446475823911	1970
canarito192	3.08391512277254e-06	7.49658833378528e-05	0.000240558094779889	1971
cliente_edad_tend6	3.05072678884751e-06	4.28267792088715e-05	9.62232379119557e-05	1972
mpagomiscuentas_rank_lag1	3.04552983757222e-06	0.000168588000976774	0.000144334856867934	1973
canarito1406	2.92102265992303e-06	7.55209774561598e-05	0.000192446475823911	1974
mcheques_emitidos_rank	2.92023112177967e-06	0.000685676487467887	0.000120279047389945	1975
Master_mfinanciacion_limite_rank_lag2	2.85112976917799e-06	3.6540408762461e-05	0.000168390666345923	1976
mtarjeta_visa_descuentos_rank	2.82118912327707e-06	0.000110632793741557	4.81116189559779e-05	1977
canarito404	2.78190710961624e-06	9.17905888221723e-05	0.000384892951647823	1978
vm_mpagominimo_rank_delta2	2.77641794234779e-06	2.68981139764384e-05	7.21674284339668e-05	1979
canarito867	2.75130112935026e-06	9.49943553831623e-05	0.000192446475823911	1980
rf_010_019	2.69793326796745e-06	4.31536366592451e-05	9.62232379119557e-05	1981
catm_trx_other_lag2	2.67709751918976e-06	2.88113571557807e-05	2.40558094779889e-05	1982
canarito1079	2.512536988263e-06	0.000102157041924971	0.000288669713735867	1983
rf_007_020	2.47788248795199e-06	9.9322398863972e-05	4.81116189559779e-05	1984
canarito1340	2.47544523593045e-06	0.000288741926828784	0.00045706038008179	1985
vmr_mconsumosdolares	2.44445282986512e-06	9.50704342724734e-06	4.81116189559779e-05	1986
tcallcenter_lag1	2.38180195726624e-06	2.86732880603642e-05	7.21674284339668e-05	1987
canarito1265	2.37013822056211e-06	6.86118872120548e-05	0.000144334856867934	1988
mv_status07_rank_lag2	2.34805412604785e-06	5.1874531563611e-06	2.40558094779889e-05	1989
rf_002_026	2.31944273861666e-06	0.000427199869901718	0.000192446475823911	1990
Visa_mconsumospesos_rank_lag2	2.25496697601948e-06	0.000128590229355619	9.62232379119557e-05	1991
canarito70	2.23295675681709e-06	0.000205055148586565	0.000264613904257878	1992
vmr_mpagospesos_lag2	2.17277551232136e-06	2.71629812207067e-05	7.21674284339668e-05	1993
mprestamos_prendarios_rank_tend6	2.15957600111273e-06	5.92682725099942e-05	2.40558094779889e-05	1994
vm_msaldototal_rank_lag1	2.09402803154315e-06	3.59092357548429e-05	9.62232379119557e-05	1995
cliente_antiguedad_lag1	2.07214424342746e-06	9.7933254699884e-05	9.62232379119557e-05	1996
mtarjeta_visa_consumo_rank_delta1	2.06548075762984e-06	6.43852822503265e-05	0.000168390666345923	1997
